2025-05-19 15:38:36,550 - INFO - 系统 CPU: 1.3%, 内存: 34.3%, 连接: 145 (已建立: 68, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:39:07,813 - INFO - 系统 CPU: 0.3%, 内存: 35.4%, 连接: 154 (已建立: 74, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:39:39,075 - INFO - 系统 CPU: 0.5%, 内存: 34.9%, 连接: 152 (已建立: 72, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:40:10,338 - INFO - 系统 CPU: 0.3%, 内存: 34.6%, 连接: 149 (已建立: 72, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:40:41,600 - INFO - 系统 CPU: 0.3%, 内存: 34.4%, 连接: 146 (已建立: 70, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:41:12,861 - INFO - 系统 CPU: 0.7%, 内存: 34.2%, 连接: 145 (已建立: 75, CLOSE_WAIT: 0, TIME_WAIT: 8), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:41:44,123 - INFO - 系统 CPU: 0.0%, 内存: 34.6%, 连接: 148 (已建立: 73, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:42:15,388 - INFO - 系统 CPU: 0.3%, 内存: 34.3%, 连接: 146 (已建立: 69, CLOSE_WAIT: 0, TIME_WAIT: 15), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:42:46,650 - INFO - 系统 CPU: 0.3%, 内存: 34.4%, 连接: 140 (已建立: 67, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:43:17,914 - INFO - 系统 CPU: 0.7%, 内存: 34.5%, 连接: 146 (已建立: 75, CLOSE_WAIT: 0, TIME_WAIT: 9), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
